net_profit,current_assets,total_inventory,proprtor_capt_reserves,total_debt,capital_allowance,installment_tax_paid,tax_payable_IT,sales_exempt,output_VAT,input_VAT,VAT_payable,less_crdt_bal_prv_mnth,WVAT - credit,VAT_advance_paid,paye_payable,current_ratio,quick_ratio,Gearing_ratio,total_liabilities,payment_time
3650802.74,12064854.4,0,66261067.99,82970981.25,3400.13,0,938980.2,0,10334783.28,6896.55,9093209.121,0,872700,330826.6063,638427.45,1.974783422,1.974783422,1.252182975,89080438.25,1
-8317999.75,2771970,584820,894333,16812689,5292318.225,0,110718.12,0,4361883.58,3386243.21,-325971.36,727963.73,573648,0,0,2.563121716,2.022363756,18.79913746,17894171,0
1172173,12595713,4564625,2935923,12894496,539695.4,0,348743.6,0,11966339.21,6649222.54,3569965.09,140668.58,1606483,330826.6063,273649.5,0.573095241,0.365408319,4.391973495,34872890,1
1172304,3553335,58041,62473108,0,181317.38,119200,351691.2,0,1914142.3,909625.22,1004517.08,0,0,58826,183460,34.3181445,33.75758395,0,103541,1
2538322.31,6005159,0,3540727,0,58367.7,0,319971.15,0,1028800,0,998800,0,30000,0,0,0.912762992,0.912762992,0,6579100,1
71603.39,244686,0,112040.6,1996584.8,339155.06,0,860.25,0,1157619.92,588584.1,53737.9,503297.92,12000,0,0,8.945981025,8.945981025,17.82019018,2023936.3,0
-294549,61684,0,-842634,0,180612.5,0,0,0,526445.71,416254.68,-151212.95,261403.98,0,0,0,0.030142056,0.030142056,0,2046443,1
-93581.24,3774030,0,4065130,0,0,0,0,0,578223.51,557259.64,-11532.44,32496.31,0,0,0,11.77911985,11.77911985,0,320400,1
110256.99,25102,0,1,0,0,0,25547.1,0,1324902.78,0,836810.7,58334.08,429758,0,0,0,0,0,0,0
-1136276,13709916,4502630,-1580596,13645747,783756.2,0,18870.3,0,1130006.88,297680.08,821347.68,10979.12,0,0,0,1.701405374,1.142627415,-8.633292125,21703742,1
12203754.25,783497,0,66602,215634,23806.18,0,3892104.498,0,5588350.88,446896.55,3566754.41,471425.92,1103274,0,28041.4,1.24653681,1.24653681,3.237650521,844173,0
2759472.42,61611802.04,2813615,10550568,0,1664469.65,289658.75,1268167.52,0,25115785.57,13559839.36,6071257.22,443370.99,3289713.125,0,6996630.55,0.99265158,0.94732034,0,62067903.04,1
8241254,25191181,0,25552482,0,392749.88,95615,2441375,0,10937663.61,5280382.48,-6367670.829,7877323.808,2380049,0,718964.95,19.58782812,19.58782812,0,1286063,1
-233255,51027212,15326245,211289,20854814,737190.43,289658.75,124228.5,329935.625,41573905.14,33210906.12,-5543792.11,6383364.57,4562,60190.87,697091.55,1.490596475,1.042889342,98.70279096,55087561,1
-5932858,5434270,4538727,-25258516,10656680,47576.23,0,0,0,1044350.83,982208.71,62142.12,0,0,0,0,0.2659033,0.043819655,-0.421904438,31093696,1
6070730,41866369,7812035,-1960705,37840116,306994.3,20072,0,0,10675462.79,2827507.38,5932348.41,0,1915607,0,7830261.319,1.559086477,1.268169485,-19.29923981,64693257,1
2861155,31281928,5198630,10016598,0,1421256.45,60000,1083539.55,0,18737306.14,13403833.89,162450.13,2947411.12,2223611,0,3026821.95,1.212186952,1.010738005,0,25806191,1
0,0,0,0,0,0,0,0,0,6250709.35,3441655.65,1780550.76,1028502.94,0,0,1117146.7,0,0,0,0,1
5135788,73291362,1065268,24163000,519416,433969.53,289658.75,1600183.29,329935.625,53424868.14,33210906.12,-6367670.829,7877323.808,3289713.125,184230,3410917.05,1.444271801,1.423279743,0.021496337,51265655,1
-1197162.68,16098042.9,5664030,1152993.82,0,637496.36,0,19019.85,197500,8625182.23,8023620.93,-346767.51,948293.81,35,18438,213606.4,0.854394711,0.553779456,0,18841458.98,1
36835,76765,0,-1717784,1818988,0,0,11050.5,0,146937.99,0,144537.99,0,2400,0,0,2.193285714,2.193285714,-1.05891544,1853988,1
1509952.58,9164752.1,1575484,1359952,7597634,56122.5,175160,445614.37,329935.625,8013084.4,5113213.91,-364368.14,1763054.48,1501184.15,12561,157549.35,27.8325329,23.04792883,5.586692766,7926916,1
374990,921269,180000,619536,0,10500,0,112497,0,11702274.88,11213335.69,-589998.27,1078937.46,0,0,0,4.173623695,3.358169941,0,220736,1
8181322,167610171.3,15326245,42301987,82970981.25,5292318.225,289658.75,3892104.498,329935.625,63027825.07,33210906.12,-6367670.829,7877323.808,3289713.125,330826.6063,7830261.319,1.416096991,1.286609327,1.961396784,201331639,1
-8305460,10995423,4649518,66261067.99,82970981.25,5292318.225,0,215005.75,0,20936393.5,11191447.66,430264.51,7863657.33,1451024,301202.9,1769800.35,0.166079114,0.095850999,1.252182975,149176916.3,1
2983127,167610171.3,15326245,6788527,62846422,7671.88,0,1544088.8,0,63027825.07,33210906.12,-6367670.829,7877323.808,0,0,3071632,1.416096991,1.286609327,9.257740597,181207079.8,0
49965.41,2050801,594000,3011842.6,2941031,550707.5,0,14989.63,0,4339625.23,4102066.17,-1544280.7,1617589.76,164250,0,0,18.93280096,13.44904911,0.976488944,3049351,1
-287369.93,1776802.61,303225,2494530.65,189976.15,94226.15,0,1644.3,0,3901552.72,3718562.98,-217201.3,247650.14,152540.9,0,0,0,0,0.076157072,189976.15,0
-281130.92,108213054,13415717,10312281,82970981.25,1479021.68,86929,277731.32,0,13163613.72,12423710.05,-6367670.829,7395649.38,0,44676.4,735298.15,16.69763854,14.62754824,8.045841774,89451721.25,1
2640328,9475263,3206799,6752581,1707799,30938.36,5400,790401.45,0,8843922.33,6113430.18,-1470278.58,2722621.53,1478149.2,330826.6063,47580,7.356376462,4.866691407,0.252910554,2995833,1
1509227,37545424,0,10782174,3062381,498336.85,0,276111.9,0,7934187.96,576016.98,7351724.94,317.04,6129,0,1522060.2,1.408567588,1.408567588,0.284022591,29717420,1
431361,19832878,13567465,-2660726,11543606,34227.99,0,0,329935.625,2296418.96,1866636.2,-393714.53,804631.29,18866,35434.97,0,1.713196836,0.541216748,-4.338517382,23120138,0
12203754.25,167610171.3,15326245,66261067.99,82970981.25,5292318.225,289658.75,3892104.498,329935.625,63027825.07,33210906.12,9093209.121,7877323.808,3289713.125,330826.6063,7830261.319,1.416096991,1.286609327,1.252182975,201331639,1
-40666.25,11608960,6729341,39487145,0,376737,0,0,0,11402668.92,10987360.14,-160236.45,294395.23,281150,0,0,3.915490678,1.645806576,0,2964880,1
-8317999.75,53924947,0,-39756640.79,82970981.25,5292318.225,0,0,0,24663203.62,11750660.33,9093209.121,700905.77,2160261,0,7830261.319,0.487048877,0.487048877,-2.086971625,193688713.3,1
-40000,3511884,0,320000,18824087,0,0,0,0,482.76,0,-6367670.829,7877323.808,0,0,0,0.554972804,0.554972804,58.82527188,25152116,0
12203754.25,127762936,15326245,47239044,31259322,701592.91,289658.75,3892104.498,329935.625,63027825.07,33210906.12,-1546818.19,1912538.48,32515,134130.99,2421245.85,2.527750776,2.224525686,0.661726389,81803441,1
9728451,36582029,7943382.09,16030890,1395483,46962.66,289658.75,3036522.14,0,14429396.54,4564544.17,3312905.79,3938820.58,2613126,90403.79,7830261.319,1.019003642,0.797738297,0.087049627,37295285,1
-1088233.72,1911243,654116,-378800.72,5899696.79,0,0,21712.65,329935.625,2635920.96,2508939.01,36074.1,78988.85,11919,0,220270.25,1.465540034,0.963964261,-15.57467153,7203818.79,1
3897408.25,3637537,76625,3210858,500000,69750,0,1179090.3,0,6206326.64,4886784.86,-152861.36,739050.14,733353,19699,0,13.37723227,13.09543984,0.155721617,771920,1
1921173,1666642,0,2559508,154834,158318.66,0,528244.59,0,4041663.44,3442697.28,231264.11,367702.05,0,66372,0,22.25156208,22.25156208,0.060493657,229734,1
3533.88,8120,0,8120,0,0,0,1060.16,0,66442.8,52997.38,-86216.38,91356.65,8305.15,0,0,0,0,0,0,1
-8317999.75,66537827,0,66261067.99,0,0,289658.75,3892104.498,0,7127553.99,1028325.1,5850362.67,66448.22,182418,330826.6063,890676.79,13.95376715,13.95376715,0,4768449,1
-7190498,15552873,12601588,19721466,0,807671.88,0,170629.95,329935.625,48633176.28,33210906.12,504434.97,0,182612,0,52210,1.027976551,0.195066968,0,15129599,1
7443620,20824170,6119265,34225865,0,1853034.58,289658.75,2113047.63,329935.625,17290924.02,11161481.25,-6367670.829,7877323.808,2732750.15,137076,1093954.45,39.81357138,28.11419542,0,523042,1
-740476,7672098,3451685,-376273,0,10511.8,35000,11741.25,6000,5843506.96,5418700.73,231656.82,186020.41,7129,0,411907.65,0.90145926,0.495891786,0,8510754,1
